;Server;internal_article_number;article_hash;componentname;componentidentifier;manufacturer;manufacturer_description;component_erpreferencenumber;implant
21508;KPRDCSA02;9001039553;bb69b73353781655c3587177067e967cd12b1281c462087ae87a759a56b6b446;clé allaine 4;GR16151;NA;wera;NA;False
21511;KPRDCSA02;9001041280;8f6e2ef8cf1dd220f0ee8d8a631ff0f5c1a0c4350c6bc2fe6631a0681a1cdd2e;joint jaune Réf 83071125;GR16408;;unknown;NA;False
21512;KPRDCSA02;9001013730;7794f9d31ae5887bd7d9c22b1b8daf348c37d34fff31638a4478b9d523f4a931;manche de bistouri N°4L inox;GR11187;;unknown;;False
21520;KPRDCSA02;9001039548;f13260ccdabaa3cf62c95fa9aeb789ab289f876e688911f67dfed525ba36d0aa;clé allaine 1,5;GR16147;NA;wera;NA;False
21521;KPRDCSA02;9001039556;f364a2f980debe722f7dfc295a9a19af5120ea78f0697f9448d0e75c85fdf744;clé allaine 8;GR16154;NA;wera;NA;False
21522;KPRDCSA02;9001039283;dea7d7ca2a8d153bd30ed48e4b8ba6a0cebf32428df229f5eaddfba3855c7572;panier métallique 430*65*52mm;GR16059;;storz;NA;False
21523;KPRDCSA02;9001014109;0805ec02e588a9e8e462d58096fabac1443a8589d0d55563176a63eee100ddda;tapis de protection antichoc;GR11579;;unknown;;False
21534;KPRDCSA02;9001037739;05174cfd13724f22627c7cd52e5cd8ad3adfd2945805410cf78f8d530cadd339;container plastique 440*80*35mm avec couvercle;GR16048;unk;Unknown;NA;False
21536;KPRDCSA02;9001039554;7ccc6701b71b091cb49817aea1e4829355a5575853cebe5a1ab1f2086aa13a14;clé allaine 5;GR16152;NA;wera;NA;False
21537;KPRDCSA02;9001039555;3dc2bf45e7e4e75fd09ff88adb1ef661a82564700ffe1878c5456c4668ed8446;clé allaine 6;GR16153;NA;wera;NA;False
21538;KPRDCSA02;9001039557;a03670157241b6955c5f6b408015cc0868b18effc505872c5eaf40c694ba683e;clé allaine 10;GR16155;NA;wera;NA;False
21542;KPRDCSA02;9001037740;72d056602d99b248d30bb84ca1ce509fce8c64e346c0a1f8affd1d1d197d4959;embout vissable vers lumière froide L:10mm;GR16049;;Olympus;NA;False
21543;KPRDCSA02;9001037741;ee6d9089b59ccae2e98fdb778f74ccb7b7b77c1f385759b13a483d403271fb81;embout vissable vers lumière froide L:23mm;GR16050;;Olympus;NA;False
21549;KPRDCSA02;9001037743;d9c56aa925c691e08c31ec492501d3a9743f6044bfe0ad8c1949d259717acdf2;embout vissable vers lumière froide;GR16052;unk;Unknown;NA;False
