;Server;internal_article_number;article_hash;componentname;componentidentifier;manufacturer;manufacturer_description;component_erpreferencenumber;implant
44893;KPRDCSA03;9026002074;f664d9c4010c11a1be2602f833d3cc7cb880a514e1a7ee87865522b078b086e0;pince Kocher droite L:200mm 2*1 griffes;IR0057;;Indifférent;;False
45005;KPRDCSA03;9026015534;fe0e6e0952f74d34c63bf1b4aa12b22cc13f98c13ad89550d014870b61d49bae;gaine de protection en silicone;IR0068;;Unknown;NA;False
45027;KPRDCSA03;9026041430;cbf43ea41d6dce9cfcabea897feb76059e0eb010b3a3a0516755c7fcde3afc31;pince Pozzi large L:250mm;IR0073;;Indifférent;NA;False
45033;KPRDCSA03;9026011500;f193b598fc48dd5def5e005a2db3fdbe16e33b4c7609ecf399d9581eafcd1e3b;pince Pozzi L:240mm;IR0065;;Indifférent;;False
45905;KPRDCSA03;9026008125;6923a96c29bd66552d06610f2e168d06aebfc56a8605273c423ed99c67040f73;pince dissection droite L:120mm 2*1 griffes;IR0007;;Indifférent;;False
46619;KPRDCSA03;9026037064;0c423b6c48a5e1c359888b8bb50fe51391f6107191d025d16b74bfc5619236eb;Pince anatomique 1*2 griffes L: 120mm;IR0075;;Unknown;NA;False
46760;KPRDCSA03;9026008130;e97d27e43623d5333cfabb2363b683ecb72c60032cbd56078efe1357fda5fc24;pince Leriche courbe L:160mm 2*1 griffes;IR0040;;Indifférent;;False
46873;KPRDCSA03;9026002076;bb955d27d126bb5eea96b9f30f4305ee276a6603251db3b6f0a9b210bfc9c87e;porte aiguille Mayo L:170mm;IR0060;;Indifférent;;False
46936;KPRDCSA03;9026002070;95ddac998a86754305babfe4946762cda5f72e40229a0f263031a64d85799851;pince Allis L:160mm;IR0051;;Indifférent;;False
48657;KPRDCSA03;9026002065;cf9bc54b5a3480677239d32db0646c3ad9ae09de20b6c88cf121f38bd6682e89;pince Leriche droite L:160mm 2*1 griffes;IR0042;;Indifférent;;False
49651;KPRDCSA03;9026002055;97bf4d1be7f606882fb2742df6d108b2ca8ca8f97f5e25e949192d2c6bc7e692;porte aiguille Mayo L:180mm;IR0030;;Indifférent;;False
